active_mode,attempted_capture,backlash,biosphere,boundary_uncertainty,budget_exhausted,command_audit,command_policy,command_support,controller,cooperation_rate,curtailment_factor,defective_rate,effective_audit,effective_capture,effective_mode,effective_policy,effective_support,episode,estimated_cr,estimated_response_steps,evidence_status,institution,irreversible,justice,master_seed,nominal_cost,normal_release_streak,observed_at_step,observed_pressure,observed_trend,pending_due_step,pending_effect_count,pending_mode,pending_transition_count,perceived_improvement,performative_gap,phase,precaution_release_streak,pressure,pressure_before,reason,release_streak,remaining_budget,requested_mode,response_status,scenario,step_cost,t,trigger,true_boundary,trust,unknown_streak
0,0.224188121,0.000937665,0.731534824,0.24,0,0.78,0.14,0.18,threshold,0.471798826,1.0,0.528201174,0.78,0.052564741,0,0.14,0.18,0,4.516647892,13.0,sufficient_evidence,0.533246474,0,0.650547813,101,0.0294,0,13,0.504382637,0.01677223,,4,,0,0.0,0.220908584,evaluation,0,0.523901499,0.515278929,pressure_threshold,0,3.7522,0,available,baseline,0.0294,13,threshold,1.123961594,0.628154659,0
0,0.627433522,0.000926078,0.725632735,0.24,0,0.78,0.14,0.18,threshold,0.24844602,1.0,0.75155398,0.78,0.147089118,0,0.14,0.18,0,4.581377755,13.0,sufficient_evidence,0.527954613,0,0.65013077,101,0.0294,0,14,0.518308721,0.015918386,,4,,0,0.0,0.24858149,evaluation,0,0.546919064,0.523901499,pressure_threshold,0,3.7228,0,available,baseline,0.0294,14,threshold,1.123961594,0.626027506,0
0,0.722640959,0.000931916,0.718860848,0.24,0,0.78,0.14,0.18,threshold,0.113169391,1.0,0.886830609,0.78,0.169422161,0,0.14,0.18,0,12.693093472,13.0,sufficient_evidence,0.521745601,0,0.649406397,101,0.0294,0,15,0.517570584,0.010921429,,4,,0,0.000738137,0.274835652,evaluation,0,0.571678816,0.546919064,pressure_threshold,0,3.6934,0,available,baseline,0.0294,15,threshold,1.123961594,0.623186742,0
0,0.249814448,0.000942058,0.714243152,0.24,0,0.78,0.14,0.18,threshold,0.564516911,1.0,0.435483089,0.78,0.058576805,0,0.14,0.18,0,-3.634271236,13.0,sufficient_evidence,0.520010883,0,0.650351632,101,0.0294,0,16,0.572431407,0.024103247,,4,,0,0.0,0.210561074,evaluation,0,0.584397928,0.571678816,pressure_threshold,0,3.664,0,available,baseline,0.0294,16,threshold,1.123961594,0.623190791,0
0,0.580576058,0.000928824,0.706497036,0.24,0,0.78,0.14,0.18,threshold,0.473055965,1.0,0.526944035,0.78,0.136109465,0,0.14,0.18,0,-9.186590665,13.0,sufficient_evidence,0.514075388,0,0.648175531,101,0.0294,0,17,0.647712133,0.039456491,,4,,0,0.0,0.206229331,evaluation,0,0.611253341,0.584397928,pressure_threshold,0,3.6346,0,available,baseline,0.0294,17,threshold,1.123961594,0.620494258,0
0,0.579244734,0.00095929,0.700707833,0.24,0,0.78,0.14,0.18,threshold,0.409920491,1.0,0.590079509,0.78,0.135854183,0,0.14,0.18,0,20.892940177,13.0,sufficient_evidence,0.50913955,0,0.647855657,101,0.0294,0,18,0.577363629,0.006514993,,4,,0,0.070348503,0.069228763,evaluation,0,0.625444053,0.611253341,pressure_threshold,0,3.6052,0,available,baseline,0.0294,18,threshold,1.123961594,0.620680789,0
0,0.568544239,0.000963768,0.689770354,0.24,0,0.78,0.14,0.18,threshold,0.324842685,1.0,0.675157315,0.78,0.133352728,0,0.14,0.18,0,1.515637293,13.0,sufficient_evidence,0.502484545,0,0.644242516,101,0.0294,0,19,0.60623808,0.01322283,,4,,0,0.0,0.235934241,evaluation,0,0.651748435,0.625444053,pressure_threshold,0,3.5758,0,available,baseline,0.0294,19,threshold,1.123961594,0.61669293,0
0,0.226222991,0.001014352,0.682833287,0.24,0,0.78,0.14,0.18,threshold,0.508493118,1.0,0.491506882,0.78,0.053097771,0,0.14,0.18,0,49.933911435,13.0,sufficient_evidence,0.500424864,0,0.644378224,101,0.0294,0,20,0.577907194,0.000756715,,4,,0,0.028330886,0.154032596,evaluation,0,0.674615359,0.651748435,pressure_threshold,0,3.5464,0,available,baseline,0.0294,20,threshold,1.123961594,0.616881602,0
0,0.72549079,0.001012452,0.672277574,0.24,0,0.78,0.14,0.18,threshold,0.084412481,1.0,0.915587519,0.78,0.170278614,0,0.14,0.18,0,-7.749673506,13.0,sufficient_evidence,0.493043513,0,0.641726339,101,0.0294,0,21,0.662365181,0.025867097,,4,,0,0.0,0.282404548,evaluation,0,0.69646868,0.674615359,pressure_threshold,0,3.517,0,available,baseline,0.0294,21,threshold,1.123961594,0.612655889,0
0,0.773996549,0.001049578,0.660619492,0.24,0,0.78,0.14,0.18,threshold,0.061562504,1.0,0.938437496,0.78,0.181756077,0,0.14,0.18,0,-7.737908103,13.0,sufficient_evidence,0.484780419,0,0.638219814,101,0.0294,0,22,0.678082912,0.022822287,,4,,0,0.0,0.287078586,evaluation,0,0.72025581,0.69646868,pressure_threshold,0,3.4876,0,available,baseline,0.0294,22,threshold,1.123961594,0.607704076,0
