active_emergency_steps,budget_exhausted_steps,controller,effective_emergency_steps,environment_seed,episode,final_active_mode,final_biosphere,final_effective_mode,final_institution,final_justice,final_pressure,final_trust,first_irreversible_step,irreversible_entry,justice_floor_violation,master_seed,max_unknown_streak,min_estimated_cr,min_justice,phase,remaining_budget,requested_emergency_steps,requested_normal_steps,requested_precaution_steps,scenario,total_cost,trigger,true_boundary,unknown_steps
45,10,threshold_hysteresis,32,7000698062469207457,7,2,0.320817545,2,0.111326047,0.794874709,1.411894147,0.819178066,64,1,0,101,0,-12.686852976,0.587925861,evaluation,0.0,48,18,6,baseline,4.0,threshold_hysteresis,1.067256254,0
47,12,reserve,32,7000698062469207457,7,2,0.414390406,2,0.171043903,0.805062254,1.21312322,0.833633533,68,1,0,101,0,-12.0,0.624916543,evaluation,0.0,50,16,6,baseline,4.0,reserve,1.067256254,0
38,7,threshold,30,4347200342580717875,8,2,0.379919814,1,0.308437773,0.8095943,1.052959625,0.915250863,69,1,0,101,0,-12.431815746,0.591151529,evaluation,0.0,41,21,10,baseline,4.0,threshold,0.942858875,0
39,10,threshold_hysteresis,31,4347200342580717875,8,2,0.413841107,1,0.333290775,0.827734828,0.960391931,0.926962918,71,1,0,101,0,-12.431815746,0.596982256,evaluation,0.0,42,19,11,baseline,4.0,threshold_hysteresis,0.942858875,0
37,8,reserve,29,4347200342580717875,8,2,0.444908612,2,0.340759655,0.800231116,0.941856041,0.916448808,-1,0,0,101,0,-6.853704411,0.61624898,evaluation,0.0,40,24,8,baseline,4.0,reserve,0.942858875,0
38,6,threshold,29,11063515760330530076,9,2,0.416489211,2,0.340973314,0.781516831,0.975513246,0.926323011,-1,0,0,101,0,-13.0,0.607728752,evaluation,0.0,41,24,7,baseline,4.0,threshold,1.128432151,0
41,7,threshold_hysteresis,31,11063515760330530076,9,2,0.420293164,2,0.332833381,0.784130959,0.979133482,0.918234581,-1,0,0,101,0,-13.0,0.607728752,evaluation,0.0,44,23,5,baseline,4.0,threshold_hysteresis,1.128432151,0
40,5,reserve,32,11063515760330530076,9,2,0.518680514,2,0.391891095,0.736388646,0.885442917,0.910027173,-1,0,0,101,0,-12.373259044,0.646499237,evaluation,0.0,43,25,4,baseline,4.0,reserve,1.128432151,0
22,5,threshold,14,17675400133137008395,10,2,0.439664645,2,0.336380246,0.736992333,0.961904388,0.898812505,-1,0,0,101,0,-13.0,0.619912694,evaluation,0.0,25,17,30,baseline,4.0,threshold,1.032032864,0
22,8,threshold_hysteresis,22,17675400133137008395,10,1,0.467084471,1,0.372266215,0.798520852,0.912495078,0.932846347,-1,0,0,101,0,-13.0,0.619912694,evaluation,0.0,25,17,30,baseline,4.0,threshold_hysteresis,1.032032864,0
46,8,reserve,37,17675400133137008395,10,2,0.49556575,2,0.406438027,0.825138994,0.893144057,0.940974154,-1,0,0,101,0,-12.360366384,0.641605245,evaluation,0.0,49,23,0,baseline,4.0,reserve,1.032032864,0
29,3,threshold,24,2945415236979526237,11,2,0.428896846,1,0.455148337,0.886167261,0.934562793,0.982986644,-1,0,0,101,0,-13.0,0.636315739,evaluation,0.0,32,26,14,baseline,4.0,threshold,1.042062802,0
36,4,threshold_hysteresis,29,2945415236979526237,11,2,0.435191784,2,0.449506858,0.909732092,0.922600472,0.967102587,-1,0,0,101,0,-13.0,0.636315739,evaluation,0.0,39,26,7,baseline,4.0,threshold_hysteresis,1.042062802,0
31,5,reserve,25,2945415236979526237,11,2,0.532214243,2,0.483941202,0.873744897,0.814683043,0.962063874,-1,0,0,101,0,-5.846217214,0.653287557,evaluation,0.0,34,26,12,baseline,4.0,reserve,1.042062802,0
2,0,threshold,2,16377083887464657505,12,1,0.459559347,1,0.588803581,0.802165268,0.757604429,0.924425924,-1,0,0,101,0,-10.354045566,0.673163551,evaluation,0.658,2,33,37,baseline,3.342,threshold,1.024202659,0
8,0,threshold_hysteresis,8,16377083887464657505,12,1,0.487316149,1,0.615705803,0.850676794,0.682235325,0.975269157,-1,0,0,101,0,-10.354045566,0.673163551,evaluation,0.468,8,32,32,baseline,3.532,threshold_hysteresis,1.024202659,0
14,0,reserve,10,16377083887464657505,12,2,0.526381658,2,0.631939342,0.829533263,0.70182027,0.939714177,-1,0,0,101,0,-10.761365405,0.673163551,evaluation,0.6316,17,35,20,baseline,3.3684,reserve,1.024202659,0
48,12,threshold,33,4682417436031158630,13,2,0.008073694,2,0.0,0.679643309,2.460483852,0.68928943,23,1,0,101,0,-13.0,0.554266114,evaluation,0.0,51,16,5,baseline,4.0,threshold,0.873210736,0
49,12,threshold_hysteresis,34,4682417436031158630,13,2,0.010407154,2,0.0,0.686859249,2.457095994,0.692932077,23,1,0,101,0,-13.0,0.555030274,evaluation,0.0,52,16,4,baseline,4.0,threshold_hysteresis,0.873210736,0
55,14,reserve,38,4682417436031158630,13,2,0.151088445,2,0.0,0.663513116,2.106089956,0.676348898,38,1,0,101,0,-11.0,0.587087366,evaluation,0.0,58,14,0,baseline,4.0,reserve,0.873210736,0
23,4,threshold,23,2698055484386409074,14,1,0.422584947,1,0.512613831,0.992195674,0.836526293,0.979037908,-1,0,0,101,0,-13.0,0.664473661,evaluation,0.0,24,24,24,baseline,4.0,threshold,0.901976728,0
31,6,threshold_hysteresis,31,2698055484386409074,14,1,0.436317825,1,0.51621407,0.984202734,0.811872646,0.957101178,-1,0,0,101,0,-13.0,0.664473661,evaluation,0.0,31,24,17,baseline,4.0,threshold_hysteresis,0.901976728,0
28,4,reserve,24,2698055484386409074,14,2,0.493515707,0,0.555605011,0.990652628,0.74139557,0.974496397,-1,0,0,101,0,-9.341104081,0.664473661,evaluation,0.0,31,31,10,baseline,4.0,reserve,0.901976728,0
26,5,threshold,25,2921493049448724441,15,1,0.461101274,1,0.490032817,0.908214632,0.876831401,0.965614099,-1,0,0,101,0,-13.0,0.637991249,evaluation,0.0,27,25,20,baseline,4.0,threshold,1.007117365,0
33,5,threshold_hysteresis,28,2921493049448724441,15,1,0.458145857,2,0.484576298,0.908144256,0.885670977,0.965386848,-1,0,0,101,0,-13.0,0.637991249,evaluation,0.0,34,25,13,baseline,4.0,threshold_hysteresis,1.007117365,0
27,4,reserve,21,2921493049448724441,15,2,0.564661711,2,0.516241022,0.856233551,0.783715752,0.966923058,-1,0,0,101,0,-10.823533545,0.65855071,evaluation,0.0,30,26,16,baseline,4.0,reserve,1.007117365,0
30,5,threshold,25,17393204808567371076,16,2,0.418850268,2,0.445859823,0.765194686,0.932460901,0.952375735,71,1,0,101,0,-13.0,0.625710495,evaluation,0.0,33,23,16,baseline,4.0,threshold,0.927957265,0
33,7,threshold_hysteresis,30,17393204808567371076,16,2,0.435933566,1,0.451598989,0.793972473,0.910638587,0.951463946,-1,0,0,101,0,-13.0,0.626121074,evaluation,0.0,36,22,14,baseline,4.0,threshold_hysteresis,0.927957265,0
