arm,episode,environment_seed,true_boundary,irreversible_entry,first_irreversible_step,final_pressure,final_biosphere,final_institution,final_trust,final_justice,min_hidden_cr,min_estimated_cr,cumulative_performative_gap,capture_absorption,justice_stability,defective_action_rate,false_positive_rate,false_negative_rate,emergency_trigger_rate,mean_response_delay,mean_estimation_error,final_mode
robust_reserve,4,11010220161465837587,0.8738561213,0,72,0.5015385577,0.6907910656,0.0000000000,0.0000000000,0.5930965182,25.8704652495,4.8043716196,13.2987913773,0.7050175249,0.4973035536,0.2708604237,1.0000000000,0.0000000000,0.0000000000,3.0000000000,44.4521539558,1
full_rvcim,4,11010220161465837587,0.8738561213,0,72,0.2291703690,0.7995335540,0.0183729266,0.0000000000,0.8200876344,27.3233114298,15.9872272853,10.5888962009,0.7805068037,0.6399138139,0.2074076352,1.0000000000,0.0000000000,0.0000000000,3.0000000000,39.4645136114,1
weak_coupling,5,2539856067279588010,1.0954672412,1,25,2.8450342969,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-16.8347421033,-15.0310197351,27.1605087383,0.2059735509,0.1422330436,0.7164250616,0.0000000000,0.8055555556,0.0000000000,0.0000000000,9.5735413057,0
nominal_trigger,5,2539856067279588010,1.0954672412,1,26,2.5859444037,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-18.4299011725,-16.4552689040,24.6951890225,0.3844182538,0.0511667588,0.6285684168,0.0277777778,0.0555555556,0.6805555556,7.0000000000,9.0540848405,2
robust_reserve,5,2539856067279588010,1.0954672412,1,61,1.1755613518,0.4714390771,0.0000000000,0.0122338109,0.1321340211,-12.7507708236,-12.7507708236,15.4004278518,0.6932132809,0.2260538556,0.3856720344,0.8472222222,0.0000000000,0.3888888889,4.7000000000,28.7532632591,3
full_rvcim,5,2539856067279588010,1.0954672412,0,72,0.7628446189,0.5877752004,0.0000000000,0.0000000000,0.4227924944,18.4923827180,-9.6140735322,12.4618554559,0.7731364726,0.4174253617,0.3300997167,1.0000000000,0.0000000000,0.1388888889,3.8888888889,58.5168050603,1
weak_coupling,6,5660193241998785674,1.0909779499,1,25,3.0634665832,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-16.3045849856,-14.5576651658,31.4242252576,0.2095741843,0.1892484928,0.8181150883,0.0000000000,0.7916666667,0.0000000000,0.0000000000,9.6332606622,0
nominal_trigger,6,5660193241998785674,1.0909779499,1,25,2.8678898388,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-17.2251887282,-15.3796327931,28.9986575724,0.3918311458,0.1266839983,0.7378237098,0.0000000000,0.0416666667,0.6944444444,7.5000000000,9.6180368351,2
robust_reserve,6,5660193241998785674,1.0909779499,1,44,1.6863715402,0.3203331345,0.0000000000,0.0696377182,0.4810341022,-12.4259518711,-12.4259518711,17.0038671752,0.7075271009,0.4226291199,0.4495067768,0.5833333333,0.0000000000,0.5694444444,4.5454545455,18.7718455537,3
full_rvcim,6,5660193241998785674,1.0909779499,1,59,1.2785011187,0.4337494354,0.0000000000,0.0535990670,0.6546175379,-10.9687420980,-10.9687420980,13.9014954747,0.7783046623,0.5705172501,0.4231425357,0.7916666667,0.0000000000,0.3472222222,3.9411764706,32.2512477495,3
weak_coupling,7,257781127454455725,0.9587298028,1,20,3.1818181082,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-18.4920113548,-16.5107244239,25.9278391438,0.1988260564,0.0754132310,0.8055957910,0.0000000000,0.8611111111,0.0000000000,0.0000000000,12.6642409279,0
nominal_trigger,7,257781127454455725,0.9587298028,1,21,3.0131440677,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-20.7834767305,-18.5566756522,24.7007385173,0.3702145119,0.0138486027,0.7452634688,0.0000000000,0.1111111111,0.6805555556,8.7500000000,12.0316542838,2
robust_reserve,7,257781127454455725,0.9587298028,1,29,2.1218824563,0.1621377354,0.0000000000,0.0748192391,0.0454886115,-14.8520858432,-14.8520858432,15.7196983343,0.6933696812,0.1490753754,0.4613834861,0.3611111111,0.0000000000,0.6527777778,5.1250000000,7.9676756141,3
full_rvcim,7,257781127454455725,0.9587298028,1,36,1.8197714588,0.2957537625,0.0000000000,0.2391879195,0.4724820295,-12.8922911506,-12.8922911506,13.0857001063,0.7714834548,0.3830788971,0.4111955993,0.4722222222,0.0000000000,0.5694444444,4.6153846154,13.1720439798,3
weak_coupling,8,11573325059504012732,0.8939474003,1,32,2.5867869089,0.0000000000,0.0000000000,0.0000000000,0.2654009576,-14.8247304948,-13.2363665132,23.7320804597,0.2218376019,0.4082697824,0.6831951310,0.0000000000,0.7777777778,0.0000000000,0.0000000000,13.8143013344,0
nominal_trigger,8,11573325059504012732,0.8939474003,1,34,2.2488152904,0.0413419549,0.0000000000,0.0000000000,0.0000000000,-15.2508136455,-13.6167978978,21.3577574960,0.4038158570,0.2008196358,0.5824823421,0.0000000000,0.0416666667,0.6111111111,6.0000000000,15.5596691606,2
robust_reserve,8,11573325059504012732,0.8939474003,0,72,0.6935288073,0.6011783974,0.0000000000,0.0000000000,0.4183688667,4.0804469586,-0.4826512019,13.9270882802,0.7008875887,0.3861287422,0.3389321154,0.9861111111,0.0000000000,0.0138888889,3.6666666667,34.5421703298,1
full_rvcim,8,11573325059504012732,0.8939474003,0,72,0.4448459194,0.7019654823,0.0000000000,0.0000000000,0.6281927885,35.0433150810,9.1910286689,11.3632713788,0.7773615216,0.5211166718,0.2695885721,1.0000000000,0.0000000000,0.0000000000,3.0000000000,35.1910947322,1
weak_coupling,9,10348683437359800212,1.0481448322,1,32,2.8654056800,0.0000000000,0.0000000000,0.0000000000,0.1583162708,-15.2315109625,-13.5995633594,28.7144758965,0.2183783609,0.3404050595,0.7597717730,0.0000000000,0.8194444444,0.0000000000,0.0000000000,12.0033875165,0
nominal_trigger,9,10348683437359800212,1.0481448322,1,34,2.5501304566,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-15.6187662905,-13.9453270451,25.7940492936,0.4024808760,0.1405543050,0.6620737752,0.0000000000,0.0555555556,0.6527777778,6.0000000000,12.3339199393,2
